datetime,low,high,open,close,volumefrom,volumeto
2019-07-03,10829.18,12014.6,10829.18,11976.42,36836.85,419076229.34
2019-07-04,11035.01,12064.26,11976.42,11136.0,21403.03,250208930.02
2019-07-05,10761.8,11449.51,11136.0,11004.51,19943.95,221382404.02
2019-07-06,10980.09,11723.6,11004.51,11237.77,15009.23,171204085.58
2019-07-07,11084.31,11620.0,11237.77,11474.42,10663.42,121096932.55
2019-07-08,11328.01,12395.0,11474.42,12293.53,18809.86,225134608.47
2019-07-09,12122.33,12829.96,12293.53,12571.11,25072.06,313480512.25
2019-07-10,11553.21,13202.63,12571.11,12097.96,37013.08,463096245.34
2019-07-11,10933.0,12097.96,12097.96,11349.0,33577.18,386913445.85
2019-07-12,11079.59,11950.0,11349.0,11802.0,18077.11,209057732.96
2019-07-13,10814.4,11845.0,11802.0,11370.08,17186.06,194286516.0
2019-07-14,10084.4,11467.27,11370.08,10185.03,23646.82,252705601.73
2019-07-15,9857.27,11080.01,10185.03,10854.47,32702.15,339680844.07
2019-07-16,9350.0,11040.0,10854.47,9422.72,39003.84,391332933.54
2019-07-17,9071.0,9998.0,9422.72,9696.31,34221.67,327044568.7
2019-07-18,9291.0,10799.0,9696.31,10649.07,30779.8,312100585.04
2019-07-19,10111.0,10777.21,10649.07,10538.06,18921.67,197833777.04
2019-07-20,10360.65,11112.31,10538.06,10761.03,16334.01,175315801.07
2019-07-21,10320.0,10835.0,10761.03,10590.7,11363.1,120060585.75
2019-07-22,10060.0,10688.14,10590.7,10323.39,14866.73,153890831.3
2019-07-23,9800.23,10324.28,10323.39,9840.12,17517.98,175663149.04
2019-07-24,9507.38,9919.08,9840.12,9772.6,17433.78,169006087.36
2019-07-25,9734.58,10184.99,9772.6,9883.33,12420.64,124397441.04
2019-07-26,9657.21,9898.03,9883.33,9843.0,10404.23,101720864.39
2019-07-27,9298.19,10248.41,9843.0,9479.98,15997.56,154374846.12
2019-07-28,9108.88,9669.11,9479.98,9533.0,8740.35,82510640.83
2019-07-29,9356.75,9729.87,9533.0,9495.01,10251.81,97666125.59
2019-07-30,9371.96,9839.83,9495.01,9589.01,8899.99,85175682.91
2019-07-31,9570.01,10135.12,9589.01,10087.3,12455.48,123476349.95
2019-08-01,9881.0,10497.0,10087.3,10405.94,14053.4,142808093.48
